"ID","MissionID","DepartureLocationID","DepartureDescription","DestinationID","DestinationDescription","RouteOrder","ETD","ATD","ETA","ATA","EngineStart","EngineStop","DelayReasonID","DateCreated","CreatedBy","DateModified","ModifiedBy","DelayComment","LegCodeID","Active","StopSAR"
"32727","88519","835","","173","","1100","","","19/09/2017 1:10:00 AM","","","","","","","19/09/2017 12:30:22 AM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32728","88519","173","","156","","1150","","","19/09/2017 2:20:00 AM","","","","","","","19/09/2017 1:33:34 AM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32716","88520","682","","320","","1000","","","","","","","","","","","","","","False","False"
"32717","88520","320","","682","","1050","","","","","","","","","","","","","","False","False"
"32722","88521","835","","156","","1000","","","","","","","","","","","","","","False","False"
"32723","88521","156","","353","","1050","","","19/09/2017 1:30:00 AM","","","","","","","18/09/2017 11:48:38 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32724","88521","353","","835","","1100","","","19/09/2017 2:30:00 AM","","","","","","","19/09/2017 2:02:18 AM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32720","88522","190","","455","","1000","","","","","","","","","","","","","","False","False"
"32721","88522","455","","190","","1050","","","19/09/2017 1:10:00 AM","","","","","","","18/09/2017 11:38:17 PM","K2:GOLDCOAST\tony.bennett","","","False","False"
"32781","88523","835","","114","","1000","","","","","","","","","","","","","","False","False"
"32782","88523","114","","399","","1050","","","","","","","","","","","","","","False","False"
"32783","88523","399","","156","","1100","","","","","","","","","","","","","","False","False"
"32784","88523","156","","944","","1150","","","19/09/2017 2:30:00 PM","","","","","","","19/09/2017 1:58:25 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32785","88523","944","","835","","1200","","","","","","","","","","","","","","False","False"
"32760","88524","980","","777","","1000","","","","","","","","","","","","","","False","False"
"32761","88524","777","","980","","1050","","","","","","","","","","","","","","False","False"
"32762","88524","980","","743","","1100","","","","","","","","","","","","","","False","False"
"32763","88524","743","","660","","1150","","","19/09/2017 1:15:00 PM","","","","","","","19/09/2017 11:24:24 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32764","88524","660","","980","","1200","","","19/09/2017 3:50:00 PM","","","","","","","19/09/2017 2:46:57 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32738","88525","156","","607","","1000","","","19/09/2017 9:20:00 AM","","","","","","","19/09/2017 8:38:42 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32739","88525","607","","835","","1050","","","","","","","","","","","","","","False","False"
"32740","88525","835","","448","","1100","","","19/09/2017 12:25:00 PM","","","","","","","19/09/2017 11:22:24 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32741","88525","448","","156","","1150","","","19/09/2017 1:45:00 PM","","","","","","","19/09/2017 2:48:31 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32742","88526","173","","888","","1000","","","","","","","","","","","","","","False","False"
"32743","88526","888","","514","","1050","","","19/09/2017 11:10:00 AM","","","","","","","19/09/2017 11:23:06 AM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32744","88526","514","","976","","1100","","","","","","","","","","","","","","False","False"
"32745","88526","976","","841","","1150","","","","","","","","","","","","","","False","False"
"32746","88526","841","","173","","1200","","","19/09/2017 1:45:00 PM","","","","","","","19/09/2017 12:37:48 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32747","88527","980","","654","","1000","","","19/09/2017 1:20:00 PM","","","","","","","19/09/2017 12:39:54 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32748","88527","654","","584","","1050","","","19/09/2017 2:00:00 PM","","","","","","","19/09/2017 1:59:11 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32749","88527","584","","239","","1100","","","","","","","","","","","","","","False","False"
"32750","88527","239","","980","","1150","","","","","","","","","","","","","","False","False"
"32789","88528","682","","200","","1000","","","","","","","","","","","","","","False","False"
"32790","88528","200","","682","","1050","","","","","","","","","","","","","","False","False"
"32791","88528","682","","181","","1100","","","19/09/2017 3:00:00 PM","","","","","","","19/09/2017 2:47:35 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32792","88528","181","","682","","1150","","","","","","","","","","","","","","False","False"
"32770","88529","156","","1202","","1000","","","19/09/2017 12:50:00 PM","","","","","","","19/09/2017 12:38:19 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
"32771","88529","1202","","841","","1050","","","19/09/2017 2:30:00 PM","","","","","","","19/09/2017 1:57:48 PM","K2:GOLDCOAST\greg.bushnell","","","False","False"
