CT,BLPAD,BLPAN,BLWAD,BLWAN,BLMAD,BLMAN
524000,1525,107,822,45,703,61
525100,1209,69,680,37,529,32
525200,1224,114,735,74,489,39
525300,1333,101,745,52,588,49
526101,2307,171,1242,92,1065,77
526102,1183,84,607,41,576,42
526201,2263,196,1178,101,1085,93
526202,2771,188,1498,88,1273,98
526301,2421,196,1278,98,1143,98
526302,2658,186,1418,89,1240,95
550900,863,76,475,41,388,32
551200,1777,168,1041,102,736,62
551300,1431,135,798,67,633,66
551900,778,71,452,47,326,20
552000,1626,122,938,68,688,52
552100,915,54,541,35,374,17
552200,643,37,350,19,293,18
552300,1301,88,732,47,569,41
552400,1782,165,983,92,799,69
560400,569,36,334,24,235,8
560500,1127,46,635,27,492,19
560600,476,35,276,24,200,9
561000,635,49,370,25,265,18
561100,450,17,263,7,187,9
561200,591,36,339,18,252,15
561400,2227,179,1347,98,880,72
561500,1400,113,822,69,578,43
561600,1197,65,669,36,528,27
561700,424,26,236,15,188,9
561900,1159,94,708,59,451,30
562000,1020,76,543,42,477,32
562300,1719,125,1000,76,719,43
562400,1520,104,848,53,672,49
562500,1660,81,939,41,721,30
562600,1464,96,796,45,668,45
562700,729,38,397,22,332,14
562800,781,68,415,28,366,39
562900,1115,70,633,38,482,32
563000,1469,99,849,50,620,48
563100,2032,145,1066,82,966,62
563200,1006,86,541,41,465,27
563300,850,30,438,11,412,19
563800,2013,162,1089,86,924,75
563900,2179,170,1233,88,946,81
564000,1757,103,945,55,812,46
564100,595,27,311,12,284,15
564200,1080,114,591,65,489,47
564400,3299,294,1826,150,1473,142
564500,743,48,401,30,342,17
980000,0,0,,0,0,0
980100,5,0,0,0,0,0
980700,22,0,10,0,12,0
