CT,BTLPAD,BTLPAN,BTLWAD,BTLWAN,BTLMAD,BTLMAN
477100,2167,157,1189,74,978,83
477200,2707,223,1516,135,1191,88
477300,3665,170,1912,73,1753,97
478100,2328,126,1266,72,1062,54
478200,3310,146,1801,75,1509,71
479000,1179,74,655,38,524,36
480101,2949,185,1585,99,1364,86
480102,1836,135,999,77,837,58
480200,2053,149,1083,72,970,77
480300,2204,144,1201,72,1003,72
480400,2957,231,1607,108,1350,123
481000,2078,89,1140,47,938,42
482500,1156,110,621,60,535,50
483800,1734,137,1015,86,719,51
484300,1893,95,1026,44,867,51
484500,3482,250,1910,135,1572,115
484600,1181,78,675,49,506,29
485000,658,33,377,16,281,17
486700,1331,59,806,35,525,24
486800,981,58,547,29,434,29
486900,834,52,479,33,355,19
487000,976,100,545,58,431,42
488100,1817,97,949,50,868,47
488200,2282,127,1311,66,971,61
488300,1468,97,814,51,654,46
488400,2939,180,1696,112,1243,68
488500,1629,107,877,52,752,55
488600,2964,180,1681,74,1283,106
489001,2698,217,1493,122,1205,95
489002,2300,125,1204,56,1096,69
490002,2761,191,1498,86,1263,105
490003,2165,122,1121,61,1044,61
490004,3089,169,1634,63,1455,106
491101,4142,207,2207,93,1935,114
491200,1178,85,639,43,539,42
492700,1092,65,640,40,452,25
492800,1526,102,917,65,609,37
492900,1139,71,663,40,476,31
494000,822,60,462,33,360,27
495000,988,73,537,35,451,38
496101,1870,125,1014,75,856,50
496102,2624,214,1403,100,1221,114
496200,3294,225,1785,108,1509,117
497000,531,38,290,17,241,21
498000,1492,117,814,56,678,61
499300,906,73,513,42,393,31
499400,1587,135,893,75,694,60
500300,2026,138,1144,67,882,71
501000,794,71,434,40,360,31
503002,3541,299,1991,184,1550,115
504100,2669,217,1516,129,1153,88
507000,1173,79,654,40,519,39
508000,1115,56,660,36,455,20
509400,2921,205,1714,117,1207,88
510000,1171,59,654,34,517,25
512000,1180,96,654,42,526,54
512800,746,41,419,20,327,21
512900,679,46,391,33,288,13
513800,1335,72,786,44,549,28
514000,1171,53,694,33,477,20
515100,1439,72,842,37,597,35
515200,1129,53,673,33,456,20
515300,1040,62,644,42,396,20
515401,1260,46,761,24,499,22
516100,812,24,443,10,369,14
516200,988,28,541,13,447,15
517000,979,77,556,36,423,41
518001,2244,153,1293,88,951,65
519000,1875,116,1008,49,867,67
520001,1821,170,1011,83,810,87
520002,1819,149,1033,91,786,58
521100,2715,188,1475,88,1240,100
521200,2269,161,1239,81,1030,80
521301,2187,182,1252,104,935,78
521302,2287,145,1267,81,1020,64
521401,1540,142,862,72,678,70
521402,2428,145,1272,67,1156,78
521500,2483,197,1334,100,1149,97
522000,1869,119,1022,57,847,62
523100,2231,175,1329,102,902,73
523200,2298,156,1324,88,974,68
523300,2252,154,1249,82,1003,72
523400,2783,223,1623,117,1160,106
523501,2517,169,1400,76,1117,93
523502,807,73,468,45,339,28
523600,2732,232,1525,120,1207,112
523701,2495,169,1382,77,1113,92
523702,3025,218,1716,112,1309,106
523800,2820,202,1557,102,1263,100
524000,1525,92,822,38,703,54
525100,1209,58,680,30,529,28
525200,1224,99,735,63,489,36
525300,1333,86,745,48,588,38
526101,2307,135,1242,72,1065,63
526102,1183,71,607,31,576,40
526201,2263,166,1178,83,1085,83
526202,2771,160,1498,75,1273,85
526301,2421,173,1278,90,1143,83
526302,2658,159,1418,78,1240,81
550900,863,60,475,37,388,23
551200,1777,136,1041,82,736,54
551300,1431,111,798,57,633,54
551900,778,56,452,38,326,18
552000,1626,100,938,55,688,45
552100,915,48,541,32,374,16
552200,643,34,350,17,293,17
552300,1301,76,732,39,569,37
552400,1782,140,983,80,799,60
560400,569,31,334,20,235,11
560500,1127,35,635,19,492,16
560600,476,30,276,21,200,9
561000,635,36,370,18,265,18
561100,450,15,263,5,187,10
561200,591,28,339,15,252,13
561400,2227,160,1347,89,880,71
561500,1400,96,822,61,578,35
561600,1197,57,669,33,528,24
561700,424,21,236,12,188,9
561900,1159,79,708,51,451,28
562000,1020,65,543,34,477,31
562300,1719,106,1000,68,719,38
562400,1520,92,848,43,672,49
562500,1660,63,939,31,721,32
562600,1464,80,796,34,668,46
562700,729,31,397,16,332,15
562800,781,62,415,27,366,35
562900,1115,63,633,32,482,31
563000,1469,88,849,42,620,46
563100,2032,124,1066,72,966,52
563200,1006,72,541,35,465,37
563300,850,27,438,9,412,18
563800,2013,139,1089,69,924,70
563900,2179,137,1233,69,946,68
564000,1757,82,945,48,812,34
564100,595,15,311,0,284,0
564200,1080,96,591,56,489,40
564400,3299,246,1826,125,1473,121
564500,743,37,401,22,342,15
980000,0,0,0,0,0,0
980100,0,0,0,0,0,0
980700,22,0,10,0,12,0
